city,prop_type,prop_size(lower),outcode,prop_price
reading,1,1340.0,RG,340000.0
reading,1,3502.0,HP,900000.0
reading,1,2034.0,HP,457500.0
reading,1,4141.0,GU,975000.0
reading,1,1065.0,HP,295000.0
reading,1,6895.0,SL,3400000.0
reading,1,2015.0,OX,395000.0
reading,1,1514.0,OX,275000.0
reading,1,2208.0,UB,380000.0
reading,1,4900.0,KT,1100000.0
reading,1,2008.0,GU,800000.0
reading,1,1429.0,GU,595000.0
reading,1,2030.0,HP,340000.0
reading,1,1238.0,GU,450000.0
reading,1,9890.0,KT,3150000.0
slough,1,2208.0,UB,380000.0
slough,1,6895.0,SL,3400000.0
slough,1,4900.0,KT,1100000.0
slough,1,3502.0,HP,900000.0
slough,1,2034.0,HP,457500.0
slough,1,1065.0,HP,295000.0
slough,1,1650.0,W,1100000.0
slough,1,2030.0,HP,340000.0
slough,1,3014.0,HA,825000.0
slough,1,2477.0,SW,1245000.0
slough,1,1340.0,RG,340000.0
slough,1,1136.0,SW,495000.0
slough,1,5530.0,W,5500000.0
slough,1,4288.0,SW,1400000.0
slough,1,4141.0,GU,975000.0
slough,1,1728.0,SW,925000.0
slough,1,10572.0,AL,3100000.0
slough,1,1691.0,SW,875000.0
slough,1,9890.0,KT,3150000.0
slough,1,1397.0,SW,725000.0
slough,1,2250.0,WD,849000.0
slough,1,58000.0,WD,12000000.0
slough,1,2008.0,GU,800000.0
slough,1,1785.0,SW,1000000.0
slough,1,1632.0,SW,625000.0
slough,1,1532.0,N,1200000.0
slough,1,1695.0,SW,3400000.0
slough,1,4580.0,N,1534000.0
slough,1,9504.0,N,3183840.0
slough,1,1991.0,SM,465000.0
slough,1,5690.0,SE,2250000.0
slough,1,1113.0,SE,575000.0
slough,1,1429.0,GU,595000.0
slough,1,1375.0,CR,475000.0
slough,1,1238.0,GU,450000.0
maidenhead,1,3502.0,HP,900000.0
maidenhead,1,6895.0,SL,3400000.0
maidenhead,1,2034.0,HP,457500.0
maidenhead,1,1065.0,HP,295000.0
maidenhead,1,2208.0,UB,380000.0
maidenhead,1,1340.0,RG,340000.0
maidenhead,1,2030.0,HP,340000.0
maidenhead,1,4900.0,KT,1100000.0
maidenhead,1,4141.0,GU,975000.0
maidenhead,1,1650.0,W,1100000.0
maidenhead,1,3014.0,HA,825000.0
maidenhead,1,10572.0,AL,3100000.0
maidenhead,1,2008.0,GU,800000.0
maidenhead,1,2250.0,WD,849000.0
maidenhead,1,58000.0,WD,12000000.0
maidenhead,1,9890.0,KT,3150000.0
maidenhead,1,2477.0,SW,1245000.0
maidenhead,1,5530.0,W,5500000.0
